locomotive_id,loco_class,home_zone,base_station,max_haul_capacity_tonnes,commissioned_year
LOCO0001,WDP-4,KR,CDL,4500,2009
LOCO0002,WAG-9,NCR,JHS,4500,2006
LOCO0003,WAP-7,CR,NGP,4500,2013
LOCO0004,WDG-4,NER,GD,4500,2005
LOCO0005,WAG-9,WCR,BPL,3000,2020
LOCO0006,WAG-9,NFR,DBRG,3500,2007
LOCO0007,WDG-4,ER,BWN,3500,2020
LOCO0008,WAG-9,WR,ST,4500,2009
LOCO0009,WAP-4,SCR,SC,3000,2017
LOCO0010,WDP-4,NR,DLI,4500,2008
LOCO0011,WDG-4,SCR,SC,2000,2013
LOCO0012,WAP-5,WR,BVP,2000,2006
LOCO0013,WDP-4,SR,TVC,3500,2012
LOCO0014,WDP-4,NCR,PRYJ,3000,2011
LOCO0015,WDP-4,NCR,PRYJ,3500,2020
LOCO0016,WAP-7,SR,MAS,2000,2017
LOCO0017,WAP-5,KR,CDL,2500,2023
LOCO0018,WAP-7,SECR,BSP,3000,2020
LOCO0019,WDP-4,WCR,BPL,2000,2008
LOCO0020,WAG-9,SWR,UBL,3000,2017
LOCO0021,WDG-4,SECR,R,2000,2023
LOCO0022,WDP-4,NER,GD,3000,2007
LOCO0023,WDG-4,SER,KGP,4500,2013
LOCO0024,WAP-7,ECoR,BAM,3500,2016
LOCO0025,WAG-9,SCR,BZA,2500,2011
LOCO0026,WDP-4,KR,MAO,2000,2006
LOCO0027,WAP-4,ER,SDAH,3000,2020
LOCO0028,WAP-5,KR,RN,4500,2021
LOCO0029,WDP-4,NR,UMB,3000,2010
LOCO0030,WDP-4,SER,KGP,3000,2021
LOCO0031,WDG-4,KR,CDL,4500,2014
LOCO0032,WAG-9,WCR,JBP,3000,2008
LOCO0033,WAG-9,SWR,UBL,2000,2024
LOCO0034,WAP-4,WCR,BPL,4500,2023
LOCO0035,WDP-4,NFR,DBRG,3500,2010
LOCO0036,WAP-5,KR,RN,2500,2006
LOCO0037,WAP-7,ECoR,PURI,3500,2015
LOCO0038,WDG-4,SWR,SBC,2500,2018
LOCO0039,WAP-4,KR,CDL,2000,2009
LOCO0040,WDP-4,KR,CDL,3000,2020
LOCO0041,WAG-9,KR,RN,2500,2019
LOCO0042,WAG-9,SCR,BZA,3000,2024
LOCO0043,WAP-5,WCR,JBP,3000,2022
LOCO0044,WAG-9,SR,MAS,3000,2011
LOCO0045,WDG-4,WCR,BPL,3000,2022
LOCO0046,WAP-7,NWR,AII,4500,2022
LOCO0047,WAG-9,SER,TATA,2500,2014
LOCO0048,WAP-4,ER,MLDT,2000,2016
LOCO0049,WAP-4,WR,RTM,3500,2011
LOCO0050,WAG-9,NER,GD,4500,2013
LOCO0051,WDP-4,NR,SVDK,4500,2012
LOCO0052,WAP-4,NFR,GHY,4500,2012
LOCO0053,WAP-7,NFR,GHY,3500,2015
LOCO0054,WAP-4,WCR,BPL,2500,2005
LOCO0055,WAP-4,NCR,PRYJ,3500,2020
LOCO0056,WAG-9,NER,BST,3000,2006
LOCO0057,WAP-5,ECR,DNR,4500,2006
LOCO0058,WAP-5,NCR,PRYJ,2000,2017
LOCO0059,WAP-4,WCR,COR,3000,2006
LOCO0060,WDP-4,CR,BSL,4500,2008
LOCO0061,WDG-4,SCR,NLDA,4500,2021
LOCO0062,WDP-4,WCR,COR,3500,2013
LOCO0063,WAG-9,NER,BST,2500,2019
LOCO0064,WAP-7,NWR,AII,3000,2014
LOCO0065,WDP-4,NER,GKP,3500,2018
LOCO0066,WAP-7,KR,RN,3500,2008
LOCO0067,WDG-4,NCR,PRYJ,3000,2012
LOCO0068,WDG-4,CR,DD,2500,2019
LOCO0069,WAG-9,NWR,BKN,4500,2023
LOCO0070,WAP-4,CR,SUR,3000,2012
LOCO0071,WDG-4,ER,BWN,3000,2010
LOCO0072,WAP-4,SER,TATA,3000,2008
LOCO0073,WDP-4,SR,ERS,2500,2012
LOCO0074,WAP-5,NR,SVDK,3500,2024
LOCO0075,WAP-4,SECR,BSP,4500,2020
LOCO0076,WAP-4,NER,GD,4500,2007
LOCO0077,WDP-4,KR,CDL,3000,2007
LOCO0078,WDP-4,ECoR,BAM,4500,2011
LOCO0079,WAG-9,NR,SVDK,4500,2019
LOCO0080,WAP-4,ECoR,BBS,4500,2020
LOCO0081,WDG-4,ECR,DHN,2000,2019
LOCO0082,WDG-4,NR,UMB,3500,2023
LOCO0083,WDG-4,ER,HWH,3000,2005
LOCO0084,WAP-7,SER,TATA,2500,2023
LOCO0085,WDG-4,ECR,GAYA,3000,2007
LOCO0086,WDG-4,ER,ASN,2000,2014
LOCO0087,WAP-5,SWR,UBL,3500,2016
LOCO0088,WDG-4,SER,KGP,3500,2007
LOCO0089,WAP-7,NR,UMB,2500,2022
LOCO0090,WAP-5,SER,ROU,2500,2005
LOCO0091,WDG-4,CR,BSL,4500,2018
LOCO0092,WAP-5,SER,TATA,3500,2016
LOCO0093,WAP-5,NR,DLI,2000,2006
LOCO0094,WAP-5,SWR,UBL,2500,2007
LOCO0095,WAP-7,ECoR,BBS,3500,2024
LOCO0096,WAP-4,ER,BWN,2000,2017
LOCO0097,WDP-4,WR,ST,2500,2006
LOCO0098,WAG-9,NR,LDH,2500,2023
LOCO0099,WDP-4,SCR,SC,3000,2012
LOCO0100,WAP-4,SR,MS,4500,2012
LOCO0101,WAG-9,SWR,MYS,2000,2022
LOCO0102,WDP-4,NCR,JHS,3500,2006
LOCO0103,WDP-4,SECR,BSP,3000,2018
LOCO0104,WAG-9,SWR,MYS,3500,2010
LOCO0105,WAP-5,WCR,COR,3000,2009
LOCO0106,WDP-4,WR,RTM,3500,2018
LOCO0107,WDG-4,KR,CDL,2500,2013
LOCO0108,WAP-4,NER,GD,2000,2019
LOCO0109,WDP-4,SECR,R,2500,2006
LOCO0110,WAP-4,NWR,BKN,4500,2024
LOCO0111,WAP-5,ER,ASN,4500,2022
LOCO0112,WAP-5,NER,GD,3000,2014
LOCO0113,WAP-5,CR,DD,2000,2020
LOCO0114,WAP-4,NFR,GHY,2500,2017
LOCO0115,WAG-9,NFR,GHY,3000,2017
LOCO0116,WAP-4,WR,BVP,3000,2014
LOCO0117,WDP-4,NWR,AII,3500,2019
LOCO0118,WAG-9,ECoR,CTC,2500,2016
LOCO0119,WAP-7,SCR,SC,4500,2012
LOCO0120,WAG-9,NR,DLI,4500,2023
LOCO0121,WAP-5,SWR,MYS,2500,2015
LOCO0122,WDP-4,NFR,GHY,2500,2020
LOCO0123,WDG-4,SCR,HYB,3500,2019
LOCO0124,WAP-5,NCR,JHS,2500,2022
LOCO0125,WDP-4,WCR,JBP,2000,2021
LOCO0126,WAP-4,ER,ASN,2000,2005
LOCO0127,WAP-4,SWR,UBL,2500,2007
LOCO0128,WAP-5,NR,NDLS,4500,2019
LOCO0129,WDP-4,SECR,R,4500,2020
LOCO0130,WAP-7,WCR,JBP,4500,2022
LOCO0131,WAP-7,SWR,MYS,4500,2013
LOCO0132,WDP-4,SR,ERS,3500,2010
LOCO0133,WDP-4,ECoR,CTC,2500,2012
LOCO0134,WAG-9,NER,BST,3000,2013
LOCO0135,WAG-9,SER,KGP,3500,2019
LOCO0136,WAG-9,NFR,DBRG,2000,2006
LOCO0137,WDG-4,ECR,PNBE,3500,2022
LOCO0138,WAP-4,WCR,BPL,2000,2010
LOCO0139,WDG-4,ECR,PNBE,3000,2023
LOCO0140,WAP-7,ECoR,BBS,2500,2011
