assignment_id,locomotive_id,train_number,sequence_no_in_rotation,scheduled_start,scheduled_end,turnaround_buffer_mins
RS00001,LOCO0126,12307,1,2026-01-01 09:00,2026-01-01 11:00,45
RS00002,LOCO0126,12318,2,2026-01-01 11:45,2026-01-01 13:53,45
RS00003,LOCO0101,12163,1,2026-01-01 06:00,2026-01-01 08:04,90
RS00004,LOCO0101,12176,2,2026-01-01 09:34,2026-01-01 11:16,45
RS00005,LOCO0045,12120,1,2026-01-01 09:00,2026-01-01 11:15,25
RS00006,LOCO0045,12208,2,2026-01-01 11:40,2026-01-01 14:55,45
RS00007,LOCO0045,12195,3,2026-01-01 15:40,2026-01-01 17:08,60
RS00008,LOCO0035,12087,1,2026-01-01 05:00,2026-01-01 07:25,15
RS00009,LOCO0047,12052,1,2026-01-01 05:00,2026-01-01 07:24,30
RS00010,LOCO0047,12309,2,2026-01-01 07:54,2026-01-01 10:39,45
RS00011,LOCO0036,12237,1,2026-01-01 07:00,2026-01-01 08:40,30
RS00012,LOCO0036,12049,2,2026-01-01 09:10,2026-01-01 11:10,45
RS00013,LOCO0045,12239,1,2026-01-01 07:00,2026-01-01 08:56,20
RS00014,LOCO0045,12113,2,2026-01-01 09:16,2026-01-01 11:46,25
RS00015,LOCO0116,12024,1,2026-01-01 10:00,2026-01-01 12:04,15
RS00016,LOCO0116,12308,2,2026-01-01 12:19,2026-01-01 15:49,20
RS00017,LOCO0050,12222,1,2026-01-01 08:00,2026-01-01 10:24,60
RS00018,LOCO0050,12226,2,2026-01-01 11:24,2026-01-01 13:09,30
RS00019,LOCO0050,12225,3,2026-01-01 13:39,2026-01-01 16:23,30
RS00020,LOCO0107,12036,1,2026-01-01 07:00,2026-01-01 09:55,20
RS00021,LOCO0107,12206,2,2026-01-01 10:15,2026-01-01 12:49,45
RS00022,LOCO0107,12205,3,2026-01-01 13:34,2026-01-01 15:14,90
RS00023,LOCO0057,12217,1,2026-01-01 06:00,2026-01-01 07:21,45
RS00024,LOCO0074,12130,1,2026-01-01 07:00,2026-01-01 09:32,60
RS00025,LOCO0127,12259,1,2026-01-01 04:00,2026-01-01 07:48,15
RS00026,LOCO0127,12236,2,2026-01-01 08:03,2026-01-01 09:55,90
RS00027,LOCO0140,12000,1,2026-01-01 06:00,2026-01-01 09:42,90
RS00028,LOCO0140,12273,2,2026-01-01 11:12,2026-01-01 13:24,15
RS00029,LOCO0140,12164,3,2026-01-01 13:39,2026-01-01 16:35,60
RS00030,LOCO0113,12285,1,2026-01-01 07:00,2026-01-01 09:18,60
RS00031,LOCO0113,12056,2,2026-01-01 10:18,2026-01-01 12:58,90
RS00032,LOCO0064,12032,1,2026-01-01 04:00,2026-01-01 06:50,25
RS00033,LOCO0090,12145,1,2026-01-01 04:00,2026-01-01 06:50,90
RS00034,LOCO0090,12025,2,2026-01-01 08:20,2026-01-01 09:52,90
RS00035,LOCO0090,12238,3,2026-01-01 11:22,2026-01-01 15:07,20
RS00036,LOCO0054,12155,1,2026-01-01 08:00,2026-01-01 09:24,25
RS00037,LOCO0054,12189,2,2026-01-01 09:49,2026-01-01 12:37,45
RS00038,LOCO0054,12292,3,2026-01-01 13:22,2026-01-01 16:02,30
RS00039,LOCO0043,12048,1,2026-01-01 10:00,2026-01-01 12:10,90
RS00040,LOCO0043,12310,2,2026-01-01 13:40,2026-01-01 15:24,90
RS00041,LOCO0016,12149,1,2026-01-01 08:00,2026-01-01 09:52,45
RS00042,LOCO0016,12011,2,2026-01-01 10:37,2026-01-01 13:42,20
RS00043,LOCO0083,12094,1,2026-01-01 06:00,2026-01-01 08:54,45
RS00044,LOCO0083,12281,2,2026-01-01 09:39,2026-01-01 11:03,90
RS00045,LOCO0083,12255,3,2026-01-01 12:33,2026-01-01 14:57,60
RS00046,LOCO0083,12067,4,2026-01-01 15:57,2026-01-01 18:15,20
RS00047,LOCO0106,12295,1,2026-01-01 06:00,2026-01-01 10:00,20
RS00048,LOCO0106,12041,2,2026-01-01 10:20,2026-01-01 13:08,90
RS00049,LOCO0106,12109,3,2026-01-01 14:38,2026-01-01 16:38,20
RS00050,LOCO0106,12275,4,2026-01-01 16:58,2026-01-01 18:58,60
RS00051,LOCO0083,12007,1,2026-01-01 10:00,2026-01-01 13:25,30
RS00052,LOCO0083,12178,2,2026-01-01 13:55,2026-01-01 16:50,20
RS00053,LOCO0083,12253,3,2026-01-01 17:10,2026-01-01 20:20,60
RS00054,LOCO0069,12257,1,2026-01-01 07:00,2026-01-01 09:50,15
RS00055,LOCO0069,12079,2,2026-01-01 10:05,2026-01-01 14:05,90
RS00056,LOCO0024,12004,1,2026-01-01 09:00,2026-01-01 10:24,60
RS00057,LOCO0024,12020,2,2026-01-01 11:24,2026-01-01 14:30,30
RS00058,LOCO0125,12060,1,2026-01-01 04:00,2026-01-01 07:40,90
RS00059,LOCO0024,12197,1,2026-01-01 07:00,2026-01-01 09:40,60
RS00060,LOCO0024,12124,2,2026-01-01 10:40,2026-01-01 14:10,25
RS00061,LOCO0024,12121,3,2026-01-01 14:35,2026-01-01 15:41,90
RS00062,LOCO0137,12148,1,2026-01-01 07:00,2026-01-01 07:52,30
RS00063,LOCO0137,12030,2,2026-01-01 08:22,2026-01-01 10:42,25
RS00064,LOCO0073,12252,1,2026-01-01 08:00,2026-01-01 10:00,45
RS00065,LOCO0125,12119,1,2026-01-01 09:00,2026-01-01 10:28,15
RS00066,LOCO0125,12241,2,2026-01-01 10:43,2026-01-01 12:07,15
RS00067,LOCO0125,12058,3,2026-01-01 12:22,2026-01-01 14:22,90
RS00068,LOCO0118,12215,1,2026-01-01 10:00,2026-01-01 12:05,30
RS00069,LOCO0117,12136,1,2026-01-01 07:00,2026-01-01 08:44,60
RS00070,LOCO0034,12128,1,2026-01-01 06:00,2026-01-01 06:50,90
RS00071,LOCO0034,12219,2,2026-01-01 08:20,2026-01-01 11:08,15
RS00072,LOCO0034,12014,3,2026-01-01 11:23,2026-01-01 15:23,25
RS00073,LOCO0065,12277,1,2026-01-01 09:00,2026-01-01 11:40,20
RS00074,LOCO0014,12220,1,2026-01-01 06:00,2026-01-01 09:35,60
RS00075,LOCO0014,12209,2,2026-01-01 10:35,2026-01-01 13:31,20
RS00076,LOCO0110,12296,1,2026-01-01 09:00,2026-01-01 09:46,15
RS00077,LOCO0110,12317,2,2026-01-01 10:01,2026-01-01 11:45,30
RS00078,LOCO0020,12229,1,2026-01-01 05:00,2026-01-01 06:48,60
RS00079,LOCO0114,12044,1,2026-01-01 09:00,2026-01-01 10:00,90
RS00080,LOCO0031,12201,1,2026-01-01 07:00,2026-01-01 10:30,20
