route_id,train_number,sequence_no,station_id,distance_from_origin_km,scheduled_arrival,scheduled_departure,halt_minutes
12000_01,12000,1,JP,0.0,06:45,06:45,0
12000_02,12000,2,COR,193.5,09:19,09:21,2
12000_03,12000,3,JBP,662.9,15:35,15:37,2
12000_04,12000,4,ADI,1416.0,01:37,01:39,2
12000_05,12000,5,GHY,3383.3,03:51,03:53,2
12000_06,12000,6,NJP,3717.2,08:18,08:18,0
12001_01,12001,1,BCT,0.0,23:15,23:15,0
12001_02,12001,2,BBS,1370.2,05:41,05:43,2
12001_03,12001,3,KYN,2703.6,11:19,11:21,2
12001_04,12001,4,MAO,3142.1,21:04,21:04,0
12002_01,12002,1,BSP,0.0,21:30,21:30,0
12002_02,12002,2,NGP,331.8,03:01,03:03,2
12002_03,12002,3,CSMT,1029.7,14:39,14:41,2
12002_04,12002,4,KYN,1075.9,15:25,15:25,0
12003_01,12003,1,KYN,0.0,07:30,07:30,0
12003_02,12003,2,BBS,1333.3,13:07,13:09,2
12003_03,12003,3,BCT,2703.6,19:34,19:36,2
12003_04,12003,4,ST,2951.2,01:04,01:04,0
12004_01,12004,1,BBS,0.0,00:00,00:00,0
12004_02,12004,2,BCT,1370.2,22:50,22:52,2
12004_03,12004,3,ADI,1821.7,06:21,06:21,0
12005_01,12005,1,PURI,0.0,02:45,02:45,0
12005_02,12005,2,BBS,51.1,04:01,04:03,2
12005_03,12005,3,KYN,1384.4,13:21,13:23,2
12005_04,12005,4,JP,2279.9,11:44,11:46,2
12005_05,12005,5,JU,2563.5,18:50,18:50,0
12006_01,12006,1,GKP,0.0,06:45,06:45,0
12006_02,12006,2,PNBE,217.7,12:11,12:13,2
12006_03,12006,3,PRYJ,547.6,20:26,20:28,2
12006_04,12006,4,NDLS,1127.9,10:56,10:58,2
12006_05,12006,5,COR,1535.7,21:08,21:08,0
12007_01,12007,1,AII,0.0,20:00,20:00,0
12007_02,12007,2,JP,125.2,22:05,22:07,2
12007_03,12007,3,COR,318.7,01:18,01:20,2
12007_04,12007,4,BPL,582.4,05:42,05:44,2
12007_05,12007,5,JHS,852.1,10:12,10:12,0
12008_01,12008,1,MAO,0.0,03:45,03:45,0
12008_02,12008,2,UBL,125.2,06:31,06:31,0
12009_01,12009,1,BBS,0.0,22:45,22:45,0
12009_02,12009,2,VSKP,388.4,09:50,09:52,2
12009_03,12009,3,NDLS,1752.0,00:48,00:50,2
12009_04,12009,4,PRYJ,2332.3,17:23,17:25,2
12009_05,12009,5,PNBE,2662.2,02:48,02:50,2
12009_06,12009,6,MFP,2724.6,04:35,04:35,0
12010_01,12010,1,BSL,0.0,03:45,03:45,0
12010_02,12010,2,CSMT,387.0,10:11,10:13,2
12010_03,12010,3,SC,1008.4,20:33,20:35,2
12010_04,12010,4,MAS,1528.3,05:13,05:15,2
12010_05,12010,5,MDU,1950.8,12:15,12:15,0
12011_01,12011,1,ASN,0.0,16:30,16:30,0
12011_02,12011,2,MLDT,192.3,19:03,19:05,2
12011_03,12011,3,NJP,380.7,21:34,21:36,2
12011_04,12011,4,GHY,714.7,02:01,02:03,2
12011_05,12011,5,ADI,2681.9,04:15,04:15,0
12012_01,12012,1,UBL,0.0,23:45,23:45,0
12012_02,12012,2,MAO,125.2,01:25,01:25,0
12013_01,12013,1,RTM,0.0,05:45,05:45,0
