scenario_id,train_number,station_id,zone_id,initial_delay_minutes,station_degree,platform_capacity,track_congestion_index,has_rolling_stock_dependency,weather_condition,weather_severity,delay_cause,traffic_category,cascade_depth,affected_trains_count,delay_spread_minutes,cross_zone_propagation
SIM000001,12025,KYN,CR,54,5,8,0.77,1,Clear,0,Operational,HIGH,4,2,766.8,1
SIM000002,12132,MAS,SR,33,9,12,0.79,1,Clear,0,Crew,HIGH,2,0,149.7,0
SIM000003,12126,DLI,NR,36,3,10,0.67,1,Rain,1,Signal,HIGH,3,0,244.4,1
SIM000004,12276,SC,SCR,43,7,10,0.29,1,Clear,0,Signal,HIGH,3,2,323.9,1
SIM000005,12221,BPL,WCR,12,6,6,1.1,0,Clear,0,Signal,HIGH,1,0,17.3,0
SIM000006,12130,JP,NWR,42,6,7,0.7,0,Storm,3,Weather,HIGH,3,0,355.3,0
SIM000007,12087,SC,SCR,1,7,10,0.77,1,Clear,0,Weather,HIGH,0,0,1.0,0
SIM000008,12182,ST,WR,48,3,5,0.63,1,Heavy Rain,2,Signal,MEDIUM,4,0,509.5,1
SIM000009,12224,GHY,NFR,20,4,6,0.23,0,Rain,1,Signal,HIGH,1,0,41.7,1
SIM000010,12285,JBP,WCR,12,4,7,1.2,1,Clear,0,Rolling Stock,HIGH,0,0,12.0,0
SIM000011,12034,SC,SCR,58,7,10,1.26,1,Rain,1,Operational,HIGH,4,2,642.2,1
SIM000012,12184,BWN,ER,61,3,6,0.21,1,Clear,0,Signal,MEDIUM,4,2,927.6,1
SIM000013,12169,MFP,ECR,55,3,6,0.26,0,Fog,2,Rolling Stock,MEDIUM,4,0,740.2,1
SIM000014,12047,GHY,NFR,55,4,6,0.28,1,Clear,0,Operational,HIGH,4,2,513.0,1
SIM000015,12183,UMB,NR,21,3,8,0.12,1,Clear,0,Rolling Stock,MEDIUM,2,0,64.6,0
SIM000016,12206,SC,SCR,65,7,10,1.3,1,Clear,0,Operational,HIGH,5,2,720.1,1
SIM000017,12057,MAS,SR,52,9,12,1.22,1,Rain,1,Infrastructure,HIGH,4,2,535.0,0
