track_id,source_station,dest_station,distance_km,track_type,max_speed_kmph,capacity_trains_per_hour,zone_crossing
TRK0001,CSMT,KYN,46.2,Double Electrified,130,12,False
TRK0002,KYN,PUNE,111.2,Single Electrified,110,11,False
TRK0003,PUNE,DD,74.9,Double Electrified,130,17,False
TRK0004,DD,BSL,313.4,Double Non-Electrified,100,13,False
TRK0005,BSL,SUR,376.6,Double Electrified,130,20,False
TRK0006,SUR,NGP,512.0,Double Electrified,130,16,False
TRK0007,CSMT,PUNE,118.6,Double Electrified,130,23,False
TRK0008,CSMT,NGP,697.9,Single Electrified,110,5,False
TRK0009,CSMT,BSL,387.0,Double Electrified,130,21,False
TRK0010,CSMT,SUR,354.0,Double Electrified,130,23,False
TRK0011,CSMT,DD,191.3,Double Electrified,130,13,False
TRK0012,ASN,BWN,104.9,Double Electrified,130,17,False
TRK0013,BWN,MLDT,201.0,Double Electrified,130,12,False
TRK0014,MLDT,HWH,271.7,Double Electrified,130,13,False
TRK0015,HWH,SDAH,3.1,Double Non-Electrified,100,11,False
TRK0016,HWH,ASN,187.1,Double Electrified,130,23,False
TRK0017,HWH,BWN,87.5,Double Non-Electrified,100,11,False
TRK0018,GAYA,DNR,93.2,Double Electrified,130,18,False
TRK0019,DNR,PNBE,9.6,Double Non-Electrified,100,11,False
TRK0020,PNBE,MFP,62.4,Single Non-Electrified,80,7,False
TRK0021,MFP,DHN,279.2,Double Electrified,130,17,False
TRK0022,PNBE,GAYA,91.5,Double Electrified,130,23,False
TRK0023,PNBE,DHN,240.3,Double Electrified,130,10,False
TRK0024,VSKP,BAM,236.7,Double Electrified,130,10,False
TRK0025,BAM,PURI,121.9,Single Non-Electrified,80,8,False
TRK0026,PURI,BBS,51.1,Single Non-Electrified,80,11,False
TRK0027,BBS,CTC,22.5,Double Electrified,130,21,False
TRK0028,BBS,VSKP,388.4,Single Non-Electrified,80,12,False
TRK0029,BBS,BAM,152.0,Single Electrified,110,11,False
TRK0030,SVDK,ASR,158.5,Double Electrified,130,14,False
TRK0031,ASR,LDH,124.1,Double Electrified,130,10,False
TRK0032,LDH,UMB,110.1,Single Electrified,110,12,False
TRK0033,UMB,NDLS,193.7,Double Electrified,130,15,False
TRK0034,NDLS,DLI,3.0,Double Electrified,130,19,False
TRK0035,NDLS,LDH,283.4,Double Electrified,130,24,False
TRK0036,NDLS,ASR,401.9,Double Non-Electrified,100,12,False
TRK0037,NDLS,SVDK,551.1,Double Electrified,130,18,False
TRK0038,AGC,JHS,198.4,Double Electrified,130,12,False
TRK0039,JHS,PRYJ,329.9,Double Electrified,130,11,False
TRK0040,PRYJ,AGC,429.4,Single Electrified,110,7,False
TRK0041,GD,BST,86.6,Double Electrified,130,24,False
TRK0042,BST,GKP,60.7,Single Electrified,110,4,False
TRK0043,GKP,GD,145.4,Single Electrified,110,10,False
TRK0044,NJP,GHY,334.0,Single Electrified,110,12,False
TRK0045,GHY,DBRG,346.2,Double Electrified,130,14,False
TRK0046,JU,BKN,194.2,Double Electrified,130,21,False
TRK0047,BKN,AII,217.3,Double Electrified,130,14,False
TRK0048,AII,JP,125.2,Double Electrified,130,20,False
TRK0049,JP,JU,283.6,Single Electrified,110,11,False
TRK0050,JP,BKN,272.9,Double Electrified,130,22,False
TRK0051,ERS,TVC,180.6,Single Non-Electrified,80,4,False
TRK0052,TVC,CBE,279.6,Double Electrified,130,19,False
TRK0053,CBE,MDU,174.2,Single Non-Electrified,80,5,False
TRK0054,MDU,TPJ,115.7,Single Electrified,110,12,False
TRK0055,TPJ,MS,305.0,Double Electrified,130,24,False
TRK0056,MS,MAS,3.0,Double Electrified,130,11,False
TRK0057,MAS,TPJ,306.8,Double Non-Electrified,100,15,False
TRK0058,MAS,MDU,422.4,Double Electrified,130,17,False
TRK0059,MAS,CBE,428.1,Double Non-Electrified,100,21,False
TRK0060,MAS,TVC,626.7,Double Electrified,130,22,False
TRK0061,MAS,ERS,555.6,Single Electrified,110,4,False
TRK0062,HYB,SC,6.0,Single Electrified,110,12,False
TRK0063,SC,NLDA,91.5,Double Electrified,130,20,False
TRK0064,NLDA,GNT,150.0,Double Electrified,130,24,False
TRK0065,GNT,BZA,30.3,Double Electrified,130,11,False
TRK0066,SC,BZA,247.0,Double Non-Electrified,100,21,False
TRK0067,SC,GNT,241.1,Single Electrified,110,8,False
TRK0068,DURG,R,36.5,Double Electrified,130,13,False
TRK0069,R,BSP,107.2,Single Electrified,110,7,False
TRK0070,BSP,DURG,132.6,Single Electrified,110,8,False
TRK0071,ROU,TATA,148.9,Single Electrified,110,8,False
