src,dst,edge_type,times_traversed,times_cross_zone,risk_level
CSMT,KYN,SCHED_DEP,52,0,cascade
CSMT,NGP,SCHED_DEP,25,0,cascade
CSMT,BSL,SCHED_DEP,10,0,cascade
CSMT,SUR,SCHED_DEP,71,0,cascade
CSMT,SC,SCHED_DEP,80,80,cross_zone
CSMT,DLI,SCHED_DEP,50,50,cross_zone
CSMT,UBL,RS_DEP,0,0,normal
CSMT,CBE,RS_DEP,2,2,cross_zone
PUNE,KYN,SCHED_DEP,53,0,cascade
PUNE,DD,SCHED_DEP,32,0,cascade
PUNE,CSMT,SCHED_DEP,18,0,cascade
PUNE,PRYJ,SCHED_DEP,24,24,cross_zone
PUNE,PRYJ,RS_DEP,8,8,cross_zone
PUNE,SC,RS_DEP,21,21,cross_zone
PUNE,BSL,RS_DEP,8,0,cascade
PUNE,HWH,RS_DEP,14,14,cross_zone
NGP,SUR,SCHED_DEP,12,0,cascade
NGP,CSMT,SCHED_DEP,53,0,cascade
NGP,BSP,SCHED_DEP,52,52,cross_zone
NGP,R,SCHED_DEP,12,12,cross_zone
NGP,BPL,SCHED_DEP,37,37,cross_zone
NGP,DLI,SCHED_DEP,61,61,cross_zone
NGP,BCT,SCHED_DEP,71,71,cross_zone
NGP,HWH,RS_DEP,8,8,cross_zone
NGP,MFP,RS_DEP,8,8,cross_zone
NGP,MDU,RS_DEP,4,4,cross_zone
NGP,SC,RS_DEP,0,0,normal
BSL,SUR,SCHED_DEP,1,0,cascade
BSL,CSMT,SCHED_DEP,22,0,cascade
BSL,JP,RS_DEP,4,4,cross_zone
BSL,BBS,RS_DEP,2,2,cross_zone
BSL,ASR,RS_DEP,7,7,cross_zone
BSL,RTM,RS_DEP,9,9,cross_zone
SUR,BSL,SCHED_DEP,11,0,cascade
SUR,NGP,SCHED_DEP,32,0,cascade
SUR,SUR,RS_DEP,10,0,cascade
SUR,ST,RS_DEP,12,12,cross_zone
SUR,ADI,RS_DEP,0,0,normal
SUR,BCT,RS_DEP,5,5,cross_zone
KYN,CSMT,SCHED_DEP,42,0,cascade
KYN,CSMT,RS_DEP,2,0,cascade
KYN,PUNE,SCHED_DEP,61,0,cascade
KYN,MAO,SCHED_DEP,21,21,cross_zone
KYN,BBS,SCHED_DEP,80,80,cross_zone
KYN,JP,SCHED_DEP,73,73,cross_zone
KYN,KYN,RS_DEP,7,0,cascade
KYN,MFP,RS_DEP,7,7,cross_zone
KYN,BPL,RS_DEP,3,3,cross_zone
KYN,BZA,RS_DEP,14,14,cross_zone
DD,BSL,SCHED_DEP,36,0,cascade
HWH,MLDT,SCHED_DEP,49,0,cascade
HWH,SDAH,SCHED_DEP,35,0,cascade
HWH,ASN,SCHED_DEP,107,0,cascade
HWH,BWN,SCHED_DEP,62,0,cascade
HWH,KGP,SCHED_DEP,74,74,cross_zone
HWH,NJP,RS_DEP,14,14,cross_zone
HWH,BBS,RS_DEP,9,9,cross_zone
HWH,RTM,RS_DEP,3,3,cross_zone
HWH,BPL,RS_DEP,1,1,cross_zone
HWH,PNBE,RS_DEP,0,0,normal
HWH,MAO,RS_DEP,12,12,cross_zone
SDAH,HWH,SCHED_DEP,70,0,cascade
SDAH,MLDT,SCHED_DEP,9,0,cascade
SDAH,NDLS,SCHED_DEP,96,96,cross_zone
SDAH,NJP,RS_DEP,10,10,cross_zone
SDAH,PNBE,RS_DEP,0,0,normal
SDAH,BPL,RS_DEP,4,4,cross_zone
SDAH,BCT,RS_DEP,3,3,cross_zone
SDAH,HYB,RS_DEP,0,0,normal
SDAH,UMB,RS_DEP,1,1,cross_zone
SDAH,COR,RS_DEP,11,11,cross_zone
