train_number,station_id,initial_delay_minutes,cascade_depth,affected_trains_count,delay_spread_minutes,cross_zone_propagation,event_id,frontier_checks
12163,JHS,1.0,0,0,1.0,0,EVT000001,[]
12119,BZA,27.0,4,1,60.1,1,EVT000002,[]
12247,AGC,46.0,0,0,46.0,0,EVT000003,[]
12006,NDLS,23.0,2,1,49.6,1,EVT000004,[]
12031,LDH,1.0,0,0,1.0,0,EVT000005,[]
12163,NDLS,44.0,1,0,84.8,1,EVT000006,[]
12119,BPL,29.0,5,1,87.3,1,EVT000007,[]
12116,HWH,57.0,4,1,169.7,1,EVT000008,[]
12173,PRYJ,12.0,0,0,12.0,0,EVT000009,[]
12226,NGP,65.0,6,1,263.9,1,EVT000010,[]
12070,BPL,77.0,8,1,331.1,1,EVT000011,[]
12184,ROU,37.0,2,0,100.9,1,EVT000012,[]
12014,ADI,48.0,3,0,168.0,1,EVT000013,[]
12015,MS,4.0,0,0,4.0,0,EVT000014,[]
12240,ERS,21.0,2,0,55.2,1,EVT000015,[]
12025,AII,90.0,3,0,323.8,1,EVT000016,[]
12223,BZA,16.0,2,0,41.0,0,EVT000017,[]
12028,BPL,39.0,3,0,134.6,1,EVT000018,[]
12152,KYN,59.0,6,1,229.1,1,EVT000019,[]
12031,LDH,18.0,0,0,18.0,0,EVT000020,[]
12208,ASN,8.0,1,0,13.7,1,EVT000021,[]
12137,MAS,45.0,2,0,123.7,1,EVT000022,[]
12290,NJP,9.0,1,0,15.6,1,EVT000023,[]
12066,VSKP,36.0,4,1,129.7,1,EVT000024,[]
12179,AGC,15.0,4,0,49.8,1,EVT000025,[]
12097,PRYJ,29.0,3,0,97.5,1,EVT000026,[]
12137,SBC,11.0,0,0,11.0,0,EVT000027,[]
12234,PRYJ,32.0,1,0,61.5,1,EVT000028,[]
12173,PRYJ,28.0,0,0,28.0,0,EVT000029,[]
12124,SC,25.0,1,0,47.8,1,EVT000030,[]
12310,BPL,32.0,1,0,61.5,0,EVT000031,[]
12232,BZA,9.0,0,0,9.0,0,EVT000032,[]
12177,KGP,4.0,0,0,4.0,0,EVT000033,[]
12085,MLDT,10.0,1,0,18.5,0,EVT000034,[]
12120,BBS,54.0,5,1,185.5,1,EVT000035,[]
12217,MAS,30.0,2,0,80.9,1,EVT000036,[]
12068,CSMT,22.0,0,0,22.0,0,EVT000037,[]
12108,MAS,12.0,0,0,12.0,0,EVT000038,[]
12111,VSKP,49.0,5,1,161.2,1,EVT000039,[]
12156,COR,34.0,0,0,34.0,0,EVT000040,[]
12053,JP,45.0,5,0,212.7,1,EVT000041,[]
12147,UBL,17.0,3,0,53.0,1,EVT000042,[]
12153,BZA,48.0,5,1,155.9,1,EVT000043,[]
12208,AGC,45.0,0,0,45.0,0,EVT000044,[]
12198,PRYJ,5.0,0,0,5.0,0,EVT000045,[]
12104,MAS,13.0,1,0,24.4,1,EVT000046,[]
12291,NJP,30.0,0,0,30.0,0,EVT000047,[]
12188,JBP,31.0,4,1,111.8,1,EVT000048,[]
12245,DLI,76.0,1,0,147.2,0,EVT000049,[]
12087,MAS,3.0,0,0,3.0,0,EVT000050,[]
12257,SC,12.0,1,0,22.4,1,EVT000051,[]
12196,BSP,41.0,4,0,168.4,1,EVT000052,[]
12036,KGP,7.0,0,0,7.0,0,EVT000053,[]
12013,COR,43.0,3,0,149.4,1,EVT000054,[]
12228,TVC,66.0,0,0,66.0,0,EVT000055,[]
12018,BWN,57.0,5,0,276.3,1,EVT000056,[]
12042,KGP,72.0,3,0,257.0,1,EVT000057,[]
12097,PNBE,62.0,8,1,305.1,1,EVT000058,[]
12246,NDLS,41.0,1,0,79.0,0,EVT000059,[]
12068,CSMT,1.0,0,0,1.0,0,EVT000060,[]
12135,BSP,16.0,2,0,41.0,1,EVT000061,[]
12316,MS,25.0,4,0,96.0,1,EVT000062,[]
12016,GHY,39.0,4,0,159.3,1,EVT000063,[]
12200,SBC,34.0,1,0,65.3,0,EVT000064,[]
12273,JHS,25.0,3,1,60.7,1,EVT000065,[]
12306,CSMT,7.0,1,0,12.7,1,EVT000066,[]
12240,ERS,72.0,2,0,200.7,1,EVT000067,[]
12117,HWH,1.0,0,0,1.0,0,EVT000068,[]
12307,BCT,42.0,3,0,145.7,1,EVT000069,[]
12051,COR,8.0,1,0,13.7,0,EVT000070,[]
12274,PRYJ,36.0,6,1,159.4,1,EVT000071,[]
12174,VSKP,1.0,0,0,1.0,0,EVT000072,[]
12209,BPL,1.0,0,0,1.0,0,EVT000073,[]
12182,ST,56.0,6,1,244.3,1,EVT000074,[]
12167,NGP,34.0,1,0,65.3,1,EVT000075,[]
12084,NGP,37.0,7,1,144.2,1,EVT000076,[]
12269,MAS,43.0,0,0,43.0,0,EVT000077,[]
12178,HWH,44.0,5,1,149.8,1,EVT000078,[]
12123,SC,26.0,2,0,69.5,1,EVT000079,[]
12228,TVC,48.0,0,0,48.0,0,EVT000080,[]
12234,PRYJ,43.0,3,1,99.7,1,EVT000081,[]
12079,ROU,16.0,3,0,49.3,1,EVT000082,[]
12234,PRYJ,23.0,1,0,43.9,1,EVT000083,[]
12245,NGP,22.0,2,0,58.1,1,EVT000084,[]
12219,SDAH,38.0,7,1,151.0,1,EVT000085,[]
12030,KYN,63.0,2,0,175.1,1,EVT000086,[]
12224,JU,29.0,6,0,139.2,1,EVT000087,[]
12144,MAS,40.0,0,0,40.0,0,EVT000088,[]
12113,NDLS,8.0,1,0,13.7,1,EVT000089,[]
12126,BCT,62.0,2,1,93.2,1,EVT000090,[]
12066,BCT,39.0,6,1,128.6,1,EVT000091,[]
12203,GHY,47.0,0,0,47.0,0,EVT000092,[]
12269,SC,2.0,0,0,2.0,0,EVT000093,[]
12308,ADI,30.0,4,0,118.6,1,EVT000094,[]
12052,PUNE,39.0,2,1,54.1,1,EVT000095,[]
12103,SDAH,34.0,3,0,116.1,1,EVT000096,[]
12191,JP,9.0,2,0,21.0,1,EVT000097,[]
12092,KYN,26.0,2,0,69.5,1,EVT000098,[]
12241,BBS,44.0,4,1,151.7,1,EVT000099,[]
12123,SC,34.0,2,0,92.3,1,EVT000100,[]
12234,NDLS,31.0,0,0,31.0,0,EVT000101,[]
12182,JP,55.0,3,1,133.4,1,EVT000102,[]
12258,ST,43.0,0,0,43.0,0,EVT000103,[]
12025,KYN,1.0,0,0,1.0,0,EVT000104,[]
12105,BBS,1.0,0,0,1.0,0,EVT000105,[]
12042,DURG,20.0,0,0,20.0,0,EVT000106,[]
12266,SBC,36.0,7,1,154.4,1,EVT000107,[]
12221,MYS,2.0,0,0,2.0,0,EVT000108,[]
12144,MAS,21.0,0,0,21.0,0,EVT000109,[]
12244,AII,20.0,0,0,20.0,0,EVT000110,[]
12125,PNBE,15.0,0,0,15.0,0,EVT000111,[]
12027,RTM,6.0,0,0,6.0,0,EVT000112,[]
12086,VSKP,47.0,1,0,90.7,1,EVT000113,[]
12236,MDU,33.0,0,0,33.0,0,EVT000114,[]
12135,DURG,1.0,0,0,1.0,0,EVT000115,[]
12183,PNBE,10.0,2,0,23.9,1,EVT000116,[]
12298,SUR,23.0,0,0,23.0,0,EVT000117,[]
12221,SBC,10.0,1,0,18.5,0,EVT000118,[]
12132,TVC,54.0,4,0,227.2,1,EVT000119,[]
12275,ASR,74.0,4,0,317.7,1,EVT000120,[]
12301,SDAH,11.0,0,0,11.0,0,EVT000121,[]
12231,NJP,16.0,2,0,41.0,1,EVT000122,[]
12250,MAS,81.0,6,1,385.6,1,EVT000123,[]
12158,SC,14.0,1,0,26.4,1,EVT000124,[]
12253,ST,34.0,0,0,34.0,0,EVT000125,[]
12113,CBE,24.0,5,0,101.4,1,EVT000126,[]
12044,BSP,16.0,1,0,30.2,1,EVT000127,[]
12091,NDLS,47.0,3,0,164.3,1,EVT000128,[]
12287,BCT,18.0,2,0,46.7,1,EVT000129,[]
12026,AGC,2.0,0,0,2.0,0,EVT000130,[]
12183,UMB,21.0,5,0,85.5,1,EVT000131,[]
12215,JP,7.0,0,0,7.0,0,EVT000132,[]
12122,HYB,31.0,5,1,83.1,1,EVT000133,[]
12189,HWH,48.0,0,0,48.0,0,EVT000134,[]
12106,ERS,46.0,3,1,121.4,1,EVT000135,[]
12076,SC,28.0,1,0,53.6,1,EVT000136,[]
12074,MS,52.0,0,0,52.0,0,EVT000137,[]
12248,MLDT,14.0,1,0,26.4,1,EVT000138,[]
12101,PNBE,37.0,3,1,79.4,1,EVT000139,[]
12104,KGP,26.0,3,1,51.8,1,EVT000140,[]
12288,ST,29.0,0,0,29.0,0,EVT000141,[]
12207,DLI,48.0,1,0,92.7,1,EVT000142,[]
12199,CBE,30.0,4,1,73.0,1,EVT000143,[]
12238,DLI,19.0,2,0,49.5,1,EVT000144,[]
12177,HWH,74.0,2,0,206.4,1,EVT000145,[]
12096,JHS,31.0,0,0,31.0,0,EVT000146,[]
12232,MAS,28.0,2,0,75.2,1,EVT000147,[]
12000,JBP,15.0,3,0,45.6,1,EVT000148,[]
12081,BCT,32.0,1,0,61.5,1,EVT000149,[]
12227,BZA,42.0,3,1,96.0,1,EVT000150,[]
12117,COR,19.0,3,0,60.4,1,EVT000151,[]
12124,BBS,36.0,4,0,145.8,1,EVT000152,[]
12298,CSMT,94.0,1,0,182.3,0,EVT000153,[]
12032,RTM,23.0,0,0,23.0,0,EVT000154,[]
12248,NJP,36.0,0,0,36.0,0,EVT000155,[]
12117,COR,14.0,3,0,41.9,1,EVT000156,[]
12259,DD,63.0,7,2,301.1,1,EVT000157,[]
12005,KYN,81.0,2,0,226.4,1,EVT000158,[]
12088,BBS,16.0,1,0,30.2,0,EVT000159,[]
