station_id,risk_level
CSMT,cross_zone
PUNE,cross_zone
NGP,cross_zone
BSL,cross_zone
SUR,cross_zone
KYN,cross_zone
DD,cascade
HWH,cross_zone
SDAH,cross_zone
ASN,cross_zone
BWN,cross_zone
MLDT,cross_zone
PNBE,cross_zone
DNR,normal
MFP,cross_zone
GAYA,cross_zone
DHN,cross_zone
BBS,cross_zone
PURI,cross_zone
CTC,cross_zone
VSKP,cross_zone
BAM,cascade
NDLS,cross_zone
DLI,cross_zone
UMB,cross_zone
LDH,cross_zone
ASR,cross_zone
SVDK,normal
PRYJ,cross_zone
AGC,cross_zone
JHS,cross_zone
GKP,cross_zone
BST,normal
GD,normal
GHY,cross_zone
NJP,cross_zone
DBRG,normal
JP,cross_zone
JU,cross_zone
BKN,normal
AII,cross_zone
MAS,cross_zone
MS,cross_zone
TPJ,cross_zone
MDU,cross_zone
CBE,cross_zone
TVC,cross_zone
ERS,cross_zone
SC,cross_zone
HYB,cross_zone
BZA,cross_zone
GNT,normal
NLDA,normal
BSP,cross_zone
R,cross_zone
DURG,cross_zone
KGP,cross_zone
TATA,cross_zone
ROU,cross_zone
SBC,cross_zone
UBL,cross_zone
MYS,cross_zone
BCT,cross_zone
ADI,cross_zone
ST,cross_zone
RTM,cross_zone
BVP,normal
JBP,cross_zone
BPL,cross_zone
COR,cross_zone
CDL,normal
MAO,cross_zone
RN,normal
